NIP;TIT;CACA;TRABAJO_A;OBTIENE_BECA;ESTADO;CRE_MAT;CRE_SUP;CRE_SUS;CRE_NP;CRE_MAT_CN;CRE_SUP_CN;CRE_SUS_CN;CRE_NP_CN
620882;156;2020;0;-;;33;33;0;0;33;33;0;0
594545;156;2020;0;-;;25,5;25,5;0;0;25,5;25,5;0;0
594308;156;2020;0;-;;30;30;0;0;30;30;0;0
683930;156;2020;0;S;;30;18;12;0;30;18;12;0
683917;156;2020;0;S;;30;18;12;0;30;18;12;0
683965;158;2020;0;-;;30;24;6;0;30;24;6;0
683923;156;2020;0;-;;30;24;6;0;30;24;6;0
683922;156;2020;0;S;;30;12;18;0;30;12;18;0
683937;156;2020;0;S;;30;18;6;6;30;18;6;6
652388;156;2020;0;N;;21;16,5;4,5;0;21;16,5;4,5;0
617029;182;2020;0;-;;37,5;37,5;0;0;37,5;37,5;0;0
615929;158;2020;2;-;;36;36;0;0;36;36;0;0
574150;156;2020;1;-;;12;12;0;0;12;12;0;0
616908;189;2020;0;-;;30;30;0;0;30;30;0;0
574194;156;2020;0;-;;19,5;19,5;0;0;19,5;19,5;0;0
574017;156;2020;0;P;;25,5;25,5;0;0;25,5;25,5;0;0
616934;156;2020;1;S;;33;21;12;0;33;21;12;0
575016;158;2020;0;-;;24;24;0;0;24;24;0;0
666613;156;2020;;-;;30;30;0;0;30;30;0;0
679909;182;2020;0;S;;36;30;6;0;36;30;6;0
679843;158;2020;1;S;;30;12;18;0;30;12;18;0
175077;156;2020;4;-;;10,5;10,5;0;0;10,5;10,5;0;0
595506;158;2020;0;S;;19,5;15;4,5;0;19,5;15;4,5;0
594468;156;2020;0;-;;4,5;4,5;0;0;4,5;4,5;0;0
677588;156;2020;;-;;6;6;0;0;6;6;0;0
686419;189;2020;1;S;;30;30;0;0;30;30;0;0
646558;158;2020;0;S;;28,5;22,5;6;0;28,5;22,5;6;0
646628;158;2020;0;-;;34,5;10,5;24;0;34,5;10,5;24;0
645895;182;2020;1;-;;28,5;16,5;12;0;28,5;16,5;12;0
595572;156;2020;2;-;;21;15;6;0;21;15;6;0
645863;182;2020;4;S;;30;30;0;0;30;30;0;0
594542;156;2020;0;-;;37,5;37,5;0;0;37,5;37,5;0;0
617982;158;2020;2;-;;36;30;6;0;36;30;6;0
646650;158;2020;3;N;;34,5;28,5;6;0;34,5;28,5;6;0
594550;156;2020;1;-;;30;30;0;0;30;30;0;0
598418;158;2020;0;-;;43,5;37,5;6;0;43,5;37,5;6;0
566663;158;2020;3;P;;24;12;12;0;24;12;12;0
594679;182;2020;0;P;;34,5;34,5;0;0;34,5;34,5;0;0
678645;156;2020;0;N;;30;30;0;0;30;30;0;0
678642;156;2020;0;P;;30;30;0;0;30;30;0;0
678743;156;2020;0;S;;30;24;6;0;30;24;6;0
678739;156;2020;0;-;;30;0;30;0;30;0;30;0
678900;156;2020;0;N;;30;30;0;0;30;30;0;0
678674;156;2020;0;S;;30;30;0;0;30;30;0;0
515407;156;2020;0;-;;37,5;21;10,5;6;37,5;21;10,5;6
552268;156;2020;0;S;;10,5;10,5;0;0;10,5;10,5;0;0
575010;158;2020;1;S;;30;30;0;0;30;30;0;0
594475;156;2020;3;S;;31,5;31,5;0;0;31,5;31,5;0;0
574939;158;2020;2;-;;37,5;31,5;6;0;37,5;31,5;6;0
682723;189;2020;0;S;;30;30;0;0;30;30;0;0
678438;156;2020;0;S;;30;24;6;0;30;24;6;0
577943;158;2020;0;N;;22,5;16,5;6;0;22,5;16,5;6;0
617809;158;2020;0;-;;36;30;6;0;36;30;6;0
515707;156;2020;1;S;;24;19,5;4,5;0;24;19,5;4,5;0
574136;182;2020;0;-;;49,5;21;22,5;6;49,5;21;22,5;6
598254;156;2020;0;S;;33;10,5;22,5;0;33;10,5;22,5;0
678626;156;2020;0;-;;30;30;0;0;30;30;0;0
678778;156;2020;0;S;;30;18;12;0;30;18;12;0
678717;156;2020;0;S;;30;30;0;0;30;30;0;0
678805;156;2020;0;-;;30;0;24;6;30;0;24;6
678497;156;2020;0;-;;30;30;0;0;30;30;0;0
616909;156;2020;3;-;;33;33;0;0;33;33;0;0
645902;182;2020;0;-;;36;6;30;0;36;6;30;0
574932;158;2020;0;S;;37,5;37,5;0;0;37,5;37,5;0;0
597276;156;2020;2;S;;21;21;0;0;21;21;0;0
594414;156;2020;0;-;;16,5;16,5;0;0;16,5;16,5;0;0
593816;156;2020;0;P;;25,5;25,5;0;0;25,5;25,5;0;0
617109;156;2020;0;S;;33;33;0;0;33;33;0;0
595479;158;2020;1;P;;36;30;6;0;36;30;6;0
678476;156;2020;0;-;;30;30;0;0;30;30;0;0
678471;156;2020;2;S;;30;30;0;0;30;30;0;0
678697;156;2020;0;-;;30;0;24;6;30;0;24;6
209909;156;2020;4;-;;10,5;0;0;10,5;10,5;0;0;10,5
616866;156;2020;0;S;;33;33;0;0;33;33;0;0
616879;156;2020;1;S;;33;33;0;0;33;33;0;0
617079;156;2020;0;S;;33;33;0;0;33;33;0;0
645707;156;2020;0;S;;21;21;0;0;21;21;0;0
594594;156;2020;3;-;;30;30;0;0;30;30;0;0
639352;158;2020;0;N;;28,5;22,5;6;0;28,5;22,5;6;0
646642;182;2020;2;S;;40,5;10,5;18;12;40,5;10,5;18;12
615762;156;2020;0;-;;21;4,5;16,5;0;21;4,5;16,5;0
645609;156;2020;0;-;;21;0;21;0;21;0;21;0
627674;156;2020;1;-;;27;27;0;0;27;27;0;0
615910;158;2020;0;-;;30;30;0;0;30;30;0;0
650910;156;2020;0;P;;27;27;0;0;27;27;0;0
634587;158;2020;1;-;;30;30;0;0;30;30;0;0
594412;156;2020;0;S;;31,5;31,5;0;0;31,5;31,5;0;0
574933;158;2020;3;-;;12;12;0;0;12;12;0;0
617964;158;2020;0;-;;34,5;34,5;0;0;34,5;34,5;0;0
617043;156;2020;0;S;;33;33;0;0;33;33;0;0
645787;156;2020;4;-;;28,5;16,5;12;0;28,5;16,5;12;0
645523;156;2020;0;-;;21;21;0;0;21;21;0;0
594413;156;2020;0;P;;40,5;34,5;6;0;40,5;34,5;6;0
529676;158;2020;1;N;;24;18;6;0;24;18;6;0
594547;156;2020;4;-;;15;15;0;0;15;15;0;0
554935;156;2020;0;S;;42;42;0;0;42;42;0;0
645466;156;2020;0;S;;27;27;0;0;27;27;0;0
594488;156;2020;1;S;;27;22,5;0;4,5;27;22,5;0;4,5
616812;156;2020;3;S;;33;27;6;0;33;27;6;0
552321;156;2020;0;-;;37,5;10,5;27;0;37,5;10,5;27;0
644408;189;2020;0;-;;42;42;0;0;42;42;0;0
685805;156;2020;0;-;;30;30;0;0;30;30;0;0
594577;156;2020;0;-;;25,5;25,5;0;0;25,5;25,5;0;0
650902;156;2020;4;N;;30,6;12,6;18;0;30,6;12,6;18;0
574971;158;2020;0;-;;30;18;12;0;30;18;12;0
617877;158;2020;0;N;;30;18;6;6;30;18;6;6
494164;156;2020;3;N;;30;21;9;0;30;21;9;0
594566;156;2020;0;S;;40,5;40,5;0;0;40,5;40,5;0;0
578243;156;2020;1;S;;24;24;0;0;24;24;0;0
616717;156;2020;0;N;;21;9;12;0;21;9;12;0
574192;156;2020;1;-;;27;16,5;10,5;0;27;16,5;10,5;0
649592;156;2020;0;S;;28,5;24;4,5;0;28,5;24;4,5;0
645711;156;2020;0;P;;28,5;24;4,5;0;28,5;24;4,5;0
552591;182;2020;0;N;;12;12;0;0;12;12;0;0
645751;156;2020;0;-;;21;21;0;0;21;21;0;0
616962;189;2020;0;-;;30;30;0;0;30;30;0;0
645619;156;2020;2;S;;21;21;0;0;21;21;0;0
598218;156;2020;0;N;;39;16,5;22,5;0;39;16,5;22,5;0
645722;156;2020;0;-;;12;12;0;0;12;12;0;0
574235;156;2020;3;-;;21;12;9;0;21;12;9;0
528822;156;2020;4;-;;43,5;31,5;12;0;43,5;31,5;12;0
528774;156;2020;1;S;;12;6;6;0;12;6;6;0
552506;156;2020;3;-;;36;25,5;10,5;0;36;25,5;10,5;0
577888;156;2020;0;-;;36;19,5;16,5;0;36;19,5;16,5;0
552393;156;2020;4;N;;27;22,5;4,5;0;27;22,5;4,5;0
575077;158;2020;4;S;;18;18;0;0;18;18;0;0
645688;156;2020;0;-;;21;21;0;0;21;21;0;0
616978;156;2020;1;S;;21;21;0;0;21;21;0;0
617943;158;2020;1;S;;30;30;0;0;30;30;0;0
498234;156;2020;2;S;;25,5;25,5;0;0;25,5;25,5;0;0
528911;156;2020;2;-;;46,5;36;10,5;0;46,5;36;10,5;0
617035;156;2020;0;S;;21;21;0;0;21;21;0;0
616715;156;2020;1;N;;16,5;0;10,5;6;16,5;0;10,5;6
616980;189;2020;4;-;;36;12;18;6;36;12;18;6
528923;156;2020;1;S;;22,5;10,5;12;0;22,5;10,5;12;0
616738;156;2020;1;S;;33;33;0;0;33;33;0;0
617143;158;2020;3;S;;28,5;4,5;24;0;28,5;4,5;24;0
615917;158;2020;0;N;;36;36;0;0;36;36;0;0
528934;156;2020;1;-;;18;18;0;0;18;18;0;0
574241;156;2020;1;N;;13,5;13,5;0;0;13,5;13,5;0;0
552291;156;2020;1;P;;13,5;13,5;0;0;13,5;13,5;0;0
21761;156;2020;4;-;;6;6;0;0;6;6;0;0
645557;156;2020;0;-;;24;24;0;0;24;24;0;0
607310;156;2020;0;-;;27;21;6;0;27;21;6;0
616750;156;2020;0;-;;30;6;24;0;30;6;24;0
617014;156;2020;0;-;;16,5;10,5;6;0;16,5;10,5;6;0
414155;156;2020;3;-;;19,5;0;0;19,5;19,5;0;0;19,5
647457;156;2020;0;-;;18;18;0;0;18;18;0;0
616840;156;2020;0;-;;16,5;16,5;0;0;16,5;16,5;0;0
651335;156;2020;0;N;;30;6;24;0;30;6;24;0
420399;156;2020;4;-;;15;4,5;10,5;0;15;4,5;10,5;0
532437;156;2020;4;S;;31,5;19,5;12;0;31,5;19,5;12;0
617837;158;2020;0;S;;30;30;0;0;30;30;0;0
645756;156;2020;0;-;;21;21;0;0;21;21;0;0
595421;158;2020;0;N;;42;42;0;0;42;42;0;0
646594;158;2020;0;-;;28,5;28,5;0;0;28,5;28,5;0;0
645541;189;2020;0;-;;30;24;0;6;30;24;0;6
594694;182;2020;0;-;;37,5;37,5;0;0;37,5;37,5;0;0
616904;156;2020;0;S;;35,99;35,99;0;0;35,99;35,99;0;0
597158;156;2020;0;-;;18;18;0;0;18;18;0;0
645519;156;2020;0;S;;22,5;22,5;0;0;22,5;22,5;0;0
645750;156;2020;0;-;;21;21;0;0;21;21;0;0
649733;158;2020;0;S;;28,5;28,5;0;0;28,5;28,5;0;0
617169;182;2020;0;P;;37,5;37,5;0;0;37,5;37,5;0;0
574185;156;2020;0;-;;10,5;4,5;6;0;10,5;4,5;6;0
600573;156;2020;1;P;;16,5;4,5;12;0;16,5;4,5;12;0
573990;156;2020;0;-;;36;4,5;21;10,5;36;4,5;21;10,5
643073;156;2020;0;S;;21;21;0;0;21;21;0;0
649749;158;2020;0;-;;29;29;0;0;29;29;0;0
645889;182;2020;0;S;;28,5;28,5;0;0;28,5;28,5;0;0
617116;156;2020;0;S;;33;33;0;0;33;33;0;0
616825;156;2020;1;S;;33;33;0;0;33;33;0;0
575062;158;2020;0;-;;13,5;13,5;0;0;13,5;13,5;0;0
617791;158;2020;0;S;;38;32;6;0;38;32;6;0
643170;156;2020;1;-;;16,5;10,5;6;0;16,5;10,5;6;0
621064;158;2020;0;-;;36;36;0;0;36;36;0;0
574076;156;2020;0;-;;30;30;0;0;30;30;0;0
598237;156;2020;3;S;;19,5;19,5;0;0;19,5;19,5;0;0
616839;156;2020;0;P;;33;27;6;0;33;27;6;0
646574;158;2020;0;-;;28,5;28,5;0;0;28,5;28,5;0;0
645647;156;2020;0;S;;21;21;0;0;21;21;0;0
595493;158;2020;0;-;;39;39;0;0;39;39;0;0
594514;156;2020;0;P;;30;30;0;0;30;30;0;0
645507;156;2020;0;-;;21;21;0;0;21;21;0;0
594585;156;2020;1;N;;30;30;0;0;30;30;0;0
649747;158;2020;1;P;;28,5;28,5;0;0;28,5;28,5;0;0
496057;156;2020;4;-;;19,5;13,5;6;0;19,5;13,5;6;0
574316;182;2020;0;-;;39;39;0;0;39;39;0;0
645664;156;2020;0;S;;21;21;0;0;21;21;0;0
645460;189;2020;0;N;;30;30;0;0;30;30;0;0
633026;156;2020;1;S;;21;21;0;0;21;21;0;0
594511;156;2020;0;S;;30;30;0;0;30;30;0;0
645468;189;2020;3;-;;30;30;0;0;30;30;0;0
645648;156;2020;0;S;;21;21;0;0;21;21;0;0
678624;156;2020;0;-;;30;30;0;0;30;30;0;0
678502;156;2020;0;S;;30;30;0;0;30;30;0;0
678826;156;2020;0;-;;30;30;0;0;30;30;0;0
678667;189;2020;0;-;;30;30;0;0;30;30;0;0
678773;189;2020;1;S;;30;30;0;0;30;30;0;0
646529;158;2020;0;N;;28,5;16,5;6;6;28,5;16,5;6;6
617842;158;2020;0;S;;30;30;0;0;30;30;0;0
615755;156;2020;0;S;;33,4;33,4;0;0;33,4;33,4;0;0
626630;158;2020;0;S;;28,5;28,5;0;0;28,5;28,5;0;0
513751;156;2020;1;-;;33;33;0;0;33;33;0;0
679910;158;2020;0;S;;30;30;0;0;30;30;0;0
679853;158;2020;0;-;;30;24;6;0;30;24;6;0
678772;156;2020;0;N;;30;30;0;0;30;30;0;0
682680;189;2020;0;N;;30;30;0;0;30;30;0;0
678483;156;2020;0;N;;30;24;6;0;30;24;6;0
616906;156;2020;1;-;;33;33;0;0;33;33;0;0
646632;158;2020;0;-;;34,5;28,5;6;0;34,5;28,5;6;0
645535;156;2020;0;S;;27;22,5;4,5;0;27;22,5;4,5;0
621632;156;2020;0;S;;27;21;6;0;27;21;6;0
574215;156;2020;1;-;;9;9;0;0;9;9;0;0
552254;156;2020;0;N;;30;30;0;0;30;30;0;0
578779;156;2020;1;S;;37,5;31,5;6;0;37,5;31,5;6;0
616742;156;2020;0;-;;39;27;12;0;39;27;12;0
598232;156;2020;0;-;;40,5;30;10,5;0;40,5;30;10,5;0
594596;156;2020;0;-;;36;36;0;0;36;36;0;0
514625;158;2020;2;-;;12;12;0;0;12;12;0;0
594554;156;2020;0;S;;33;27;6;0;33;27;6;0
574100;156;2020;1;S;;33;27;6;0;33;27;6;0
594466;156;2020;4;-;;30;30;0;0;30;30;0;0
645615;156;2020;0;S;;21;0;21;0;21;0;21;0
617882;158;2020;0;N;;36;30;6;0;36;30;6;0
579904;156;2020;0;-;;30;30;0;0;30;30;0;0
595498;158;2020;3;-;;30;30;0;0;30;30;0;0
617978;158;2020;0;N;;24;24;0;0;24;24;0;0
621341;156;2020;2;-;;16,5;10,5;6;0;16,5;10,5;6;0
615743;156;2020;2;-;;34,5;22,5;12;0;34,5;22,5;12;0
617859;158;2020;2;N;;34,5;16,5;12;6;34,5;16,5;12;6
594486;156;2020;1;P;;25,5;25,5;0;0;25,5;25,5;0;0
552711;158;2020;4;-;;25,5;25,5;0;0;25,5;25,5;0;0
650899;156;2020;1;S;;34,5;6;22,5;6;34,5;6;22,5;6
594592;156;2020;3;-;;45;30;10,5;4,5;45;30;10,5;4,5
615745;156;2020;0;-;;33;27;6;0;33;27;6;0
645788;156;2020;1;S;;21;21;0;0;21;21;0;0
645610;156;2020;0;N;;21;21;0;0;21;21;0;0
645764;156;2020;1;-;;21;21;0;0;21;21;0;0
594440;156;2020;0;-;;30;30;0;0;30;30;0;0
649558;156;2020;0;S;;22;22;0;0;22;22;0;0
594405;156;2020;3;-;;24;24;0;0;24;24;0;0
515568;156;2020;0;-;;15;9;0;6;15;9;0;6
499809;156;2020;0;-;;27;21;6;0;27;21;6;0
645676;156;2020;0;-;;30;0;24;6;30;0;24;6
617088;156;2020;0;N;;16,5;16,5;0;0;16,5;16,5;0;0
552441;156;2020;1;-;;22,5;6;16,5;0;22,5;6;16,5;0
552203;156;2020;0;-;;36;10,5;9;16,5;36;10,5;9;16,5
577913;156;2020;0;-;;18;6;12;0;18;6;12;0
645780;189;2020;0;-;;18;18;0;0;18;18;0;0
497395;156;2020;0;-;;33;21;12;0;33;21;12;0
650914;156;2020;1;N;;34,5;28,5;6;0;34,5;28,5;6;0
574124;156;2020;4;-;;30;25,5;4,5;0;30;25,5;4,5;0
617913;158;2020;0;-;;30;30;0;0;30;30;0;0
646605;158;2020;0;S;;28,5;28,5;0;0;28,5;28,5;0;0
574318;182;2020;1;-;;39;39;0;0;39;39;0;0
616712;156;2020;0;P;;33;33;0;0;33;33;0;0
645574;156;2020;0;-;;21;21;0;0;21;21;0;0
645483;189;2020;0;S;;30;30;0;0;30;30;0;0
617838;158;2020;0;P;;30;30;0;0;30;30;0;0
617841;158;2020;0;S;;31;31;0;0;31;31;0;0
479049;156;2020;4;-;;4,5;0;0;4,5;4,5;0;0;4,5
439578;156;2020;4;-;;13,5;0;0;13,5;13,5;0;0;13,5
207616;156;2020;4;-;;9;4,5;0;4,5;9;4,5;0;4,5
647451;156;2020;0;-;;21;15;6;0;21;15;6;0
594581;156;2020;1;S;;30;30;0;0;30;30;0;0
595512;158;2020;0;S;;36;36;0;0;36;36;0;0
645417;156;2020;1;-;;21;21;0;0;21;21;0;0
645661;156;2020;1;S;;21;21;0;0;21;21;0;0
616756;189;2020;0;S;;30;30;0;0;30;30;0;0
575032;158;2020;2;-;;21;21;0;0;21;21;0;0
594357;156;2020;0;S;;29,1;29,1;0;0;29,1;29,1;0;0
651090;156;2020;2;-;;21;4,5;16,5;0;21;4,5;16,5;0
679913;158;2020;0;S;;30;30;0;0;30;30;0;0
678703;189;2020;0;-;;30;30;0;0;30;30;0;0
678412;156;2020;0;-;;30;30;0;0;30;30;0;0
678755;189;2020;1;P;;30;30;0;0;30;30;0;0
679217;182;2020;0;-;;36;36;0;0;36;36;0;0
645441;156;2020;3;S;;21;21;0;0;21;21;0;0
594637;156;2020;0;-;;30;30;0;0;30;30;0;0
678406;156;2020;0;-;;30;30;0;0;30;30;0;0
678636;156;2020;0;S;;30;30;0;0;30;30;0;0
619152;158;2020;0;N;;30;18;12;0;30;18;12;0
617093;189;2020;2;S;;30;30;0;0;30;30;0;0
617217;158;2020;0;-;;28,5;22,5;6;0;28,5;22,5;6;0
594582;156;2020;0;-;;25,5;25,5;0;0;25,5;25,5;0;0
646545;158;2020;1;-;;28,5;16,5;6;6;28,5;16,5;6;6
645762;156;2020;0;S;;21;21;0;0;21;21;0;0
616971;156;2020;3;-;;33;27;6;0;33;27;6;0
679961;158;2020;0;-;;30;12;6;12;30;12;6;12
679957;158;2020;1;-;;30;24;6;0;30;24;6;0
679963;158;2020;0;-;;30;30;0;0;30;30;0;0
678842;156;2020;0;S;;30;30;0;0;30;30;0;0
678403;156;2020;1;-;;30;24;6;0;30;24;6;0
679912;158;2020;0;N;;30;24;6;0;30;24;6;0
679940;158;2020;0;N;;30;30;0;0;30;30;0;0
595402;158;2020;1;S;;30;24;6;0;30;24;6;0
535574;158;2020;2;-;;22,5;18;0;4,5;22,5;18;0;4,5
645633;156;2020;0;S;;21;21;0;0;21;21;0;0
616761;156;2020;0;-;;22,5;16,5;6;0;22,5;16,5;6;0
616892;156;2020;1;S;;33;27;6;0;33;27;6;0
646670;158;2020;0;S;;28,5;28,5;0;0;28,5;28,5;0;0
594579;156;2020;0;-;;22,5;22,5;0;0;22,5;22,5;0;0
574085;156;2020;2;S;;21;21;0;0;21;21;0;0
678408;156;2020;0;N;;30;30;0;0;30;30;0;0
678905;156;2020;0;S;;30;30;0;0;30;30;0;0
678809;156;2020;2;P;;30;6;18;6;30;6;18;6
679824;158;2020;2;-;;30;18;12;0;30;18;12;0
678879;156;2020;0;P;;30;30;0;0;30;30;0;0
678647;156;2020;0;S;;30;30;0;0;30;30;0;0
678650;156;2020;1;-;;30;30;0;0;30;30;0;0
682731;182;2020;0;S;;36;30;6;0;36;30;6;0
573974;156;2020;0;-;;30;30;0;0;30;30;0;0
617104;182;2020;0;S;;37,5;37,5;0;0;37,5;37,5;0;0
678763;156;2020;0;-;;30;30;0;0;30;30;0;0
678475;156;2020;2;-;;30;30;0;0;30;30;0;0
678906;156;2020;0;-;;30;30;0;0;30;30;0;0
678445;156;2020;0;S;;30;30;0;0;30;30;0;0
678489;156;2020;0;N;;30;24;6;0;30;24;6;0
594706;182;2020;1;-;;37,5;37,5;0;0;37,5;37,5;0;0
594685;182;2020;0;S;;37,5;37,5;0;0;37,5;37,5;0;0
635681;156;2020;0;P;;33;33;0;0;33;33;0;0
645660;156;2020;0;P;;21;21;0;0;21;21;0;0
645684;189;2020;1;-;;30;30;0;0;30;30;0;0
645723;156;2020;0;S;;21;21;0;0;21;21;0;0
678733;156;2020;0;-;;30;30;0;0;30;30;0;0
678749;156;2020;0;-;;30;6;24;0;30;6;24;0
678910;156;2020;0;-;;30;30;0;0;30;30;0;0
595426;158;2020;0;S;;30;30;0;0;30;30;0;0
596377;158;2020;0;S;;30;30;0;0;30;30;0;0
645512;156;2020;0;S;;21;21;0;0;21;21;0;0
645603;156;2020;0;-;;22;22;0;0;22;22;0;0
616880;156;2020;0;-;;33;33;0;0;33;33;0;0
617019;156;2020;1;S;;33;33;0;0;33;33;0;0
645485;156;2020;1;-;;21;21;0;0;21;21;0;0
595429;158;2020;0;-;;33;33;0;0;33;33;0;0
616869;156;2020;0;-;;33;33;0;0;33;33;0;0
574327;182;2020;0;-;;43,5;37,5;6;0;43,5;37,5;6;0
